,Year,(semi-) final,Jury or Televoting,From country,To country,Points,2_minority_in_1
353,1981,f,J,Belgium,Portugal,0,0.0
354,1982,f,J,Belgium,Portugal,0,0.0
355,1983,f,J,Belgium,Portugal,0,0.0
356,1984,f,J,Belgium,Portugal,0,0.0
357,1985,f,J,Belgium,Portugal,0,0.0
358,1986,f,J,Belgium,Portugal,0,0.0
359,1987,f,J,Belgium,Portugal,0,0.0
360,1988,f,J,Belgium,Portugal,0,0.0
361,1989,f,J,Belgium,Portugal,2,0.0
362,1990,f,J,Belgium,Portugal,0,0.0
363,1991,f,J,Belgium,Portugal,0,0.0
364,1992,f,J,Belgium,Portugal,0,0.0
365,1993,f,J,Belgium,Portugal,0,0.0
366,1995,f,J,Belgium,Portugal,0,0.0
367,1996,f,J,Belgium,Portugal,6,0.0
368,1998,f,J,Belgium,Portugal,1,0.0
369,1999,f,J,Belgium,Portugal,0,0.0
370,2003,f,J,Belgium,Portugal,0,0.0
371,2004,sf,J,Belgium,Portugal,4,0.0
372,2005,sf,J,Belgium,Portugal,10,0.0
373,2006,sf,J,Belgium,Portugal,0,0.0
374,2007,sf,J,Belgium,Portugal,3,0.0
375,2008,f,J,Belgium,Portugal,6,0.0
376,2009,f,J,Belgium,Portugal,6,0.0
377,2009,sf1,J,Belgium,Portugal,6,0.0
378,2010,f,J,Belgium,Portugal,0,0.0
379,2010,sf1,J,Belgium,Portugal,4,0.0
380,2014,sf1,J,Belgium,Portugal,6,0.0
381,1975,f,J,Belgium,Spain,4,0.0
382,1976,f,J,Belgium,Spain,0,0.0
383,1977,f,J,Belgium,Spain,7,0.0
384,1978,f,J,Belgium,Spain,2,0.0
385,1979,f,J,Belgium,Spain,12,0.0
386,1980,f,J,Belgium,Spain,0,0.0
387,1981,f,J,Belgium,Spain,0,0.0
388,1982,f,J,Belgium,Spain,4,0.0
389,1983,f,J,Belgium,Spain,0,0.0
390,1984,f,J,Belgium,Spain,3,0.0
391,1985,f,J,Belgium,Spain,0,0.0
392,1986,f,J,Belgium,Spain,3,0.0
393,1987,f,J,Belgium,Spain,0,0.0
394,1988,f,J,Belgium,Spain,6,0.0
395,1989,f,J,Belgium,Spain,7,0.0
396,1990,f,J,Belgium,Spain,1,0.0
397,1991,f,J,Belgium,Spain,6,0.0
398,1992,f,J,Belgium,Spain,1,0.0
399,1993,f,J,Belgium,Spain,5,0.0
400,1995,f,J,Belgium,Spain,12,0.0
401,1996,f,J,Belgium,Spain,0,0.0
402,1998,f,J,Belgium,Spain,3,0.0
403,1999,f,J,Belgium,Spain,0,0.0
404,2000,f,J,Belgium,Spain,0,0.0
405,2002,f,J,Belgium,Spain,12,0.0
406,2003,f,J,Belgium,Spain,10,0.0
407,2004,f,J,Belgium,Spain,7,0.0
408,2005,f,J,Belgium,Spain,0,0.0
409,2006,f,J,Belgium,Spain,0,0.0
410,2007,f,J,Belgium,Spain,3,0.0
411,2008,f,J,Belgium,Spain,4,0.0
412,2009,f,J,Belgium,Spain,0,0.0
413,2010,f,J,Belgium,Spain,1,0.0
414,2011,f,J,Belgium,Spain,0,0.0
415,2012,f,J,Belgium,Spain,6,0.0
