,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
351,0.473,0.566,0,-7.023,0,0.0278,0.35,0.0,0.0697,0.226,84.0,audio_features,0WVmw3JD2FMQClBH9ZZGbf,spotify:track:0WVmw3JD2FMQClBH9ZZGbf,https://api.spotify.com/v1/tracks/0WVmw3JD2FMQClBH9ZZGbf,https://api.spotify.com/v1/audio-analysis/0WVmw3JD2FMQClBH9ZZGbf,197253,4,Is It True
352,0.717,0.855,5,-4.474,1,0.0302,0.0215,0.00024,0.0466,0.633,130.091,audio_features,32e6HtEtm1N8MEcvV4Mq6k,spotify:track:32e6HtEtm1N8MEcvV4Mq6k,https://api.spotify.com/v1/tracks/32e6HtEtm1N8MEcvV4Mq6k,https://api.spotify.com/v1/audio-analysis/32e6HtEtm1N8MEcvV4Mq6k,179973,4,The Balkan Girls
353,0.556,0.959,7,-4.495,1,0.0572,0.00154,0.232,0.258,0.881,138.011,audio_features,5UTkoeLEHv0zPy6XtKsCZK,spotify:track:5UTkoeLEHv0zPy6XtKsCZK,https://api.spotify.com/v1/tracks/5UTkoeLEHv0zPy6XtKsCZK,https://api.spotify.com/v1/audio-analysis/5UTkoeLEHv0zPy6XtKsCZK,178227,4,Lose Control
354,0.477,0.439,1,-6.815,1,0.0333,0.618,0.0,0.0738,0.139,123.205,audio_features,6M8nlXniw9MEh7uqlAMe8e,spotify:track:6M8nlXniw9MEh7uqlAMe8e,https://api.spotify.com/v1/tracks/6M8nlXniw9MEh7uqlAMe8e,https://api.spotify.com/v1/audio-analysis/6M8nlXniw9MEh7uqlAMe8e,182600,4,What If We
355,0.451,0.686,6,-3.819,1,0.0296,0.307,0.0,0.551,0.262,143.788,audio_features,1qP8TJQuSrmW2LS6GPKFiI,spotify:track:1qP8TJQuSrmW2LS6GPKFiI,https://api.spotify.com/v1/tracks/1qP8TJQuSrmW2LS6GPKFiI,https://api.spotify.com/v1/audio-analysis/1qP8TJQuSrmW2LS6GPKFiI,180000,4,I Dont Wanna Leave
356,0.576,0.785,2,-5.359,0,0.0295,0.62,4.26e-05,0.233,0.674,107.996,audio_features,2rzWSywjwzbysCmdOzssFR,spotify:track:2rzWSywjwzbysCmdOzssFR,https://api.spotify.com/v1/tracks/2rzWSywjwzbysCmdOzssFR,https://api.spotify.com/v1/audio-analysis/2rzWSywjwzbysCmdOzssFR,182640,4,Fairytale
357,0.657,0.956,8,-3.847,1,0.101,0.001,0.0,0.0827,0.81,125.1,audio_features,3LDK4pY6mDkO6sgUnc6TZL,spotify:track:3LDK4pY6mDkO6sgUnc6TZL,https://api.spotify.com/v1/tracks/3LDK4pY6mDkO6sgUnc6TZL,https://api.spotify.com/v1/audio-analysis/3LDK4pY6mDkO6sgUnc6TZL,237373,4,Dance with Me
358,0.649,0.923,6,-4.718,0,0.0656,0.0362,0.0,0.155,0.651,127.953,audio_features,3KcRTivsw7hbxSRMGDtsMS,spotify:track:3KcRTivsw7hbxSRMGDtsMS,https://api.spotify.com/v1/tracks/3KcRTivsw7hbxSRMGDtsMS,https://api.spotify.com/v1/audio-analysis/3KcRTivsw7hbxSRMGDtsMS,177563,4,This Is Our Night
359,0.687,0.716,5,-5.997,0,0.0447,0.0318,0.0,0.329,0.642,123.905,audio_features,6IiZBBFqyyK3CLo9BqmmAH,spotify:track:6IiZBBFqyyK3CLo9BqmmAH,https://api.spotify.com/v1/tracks/6IiZBBFqyyK3CLo9BqmmAH,https://api.spotify.com/v1/audio-analysis/6IiZBBFqyyK3CLo9BqmmAH,179995,4,Randajad
360,0.259,0.581,9,-8.383,1,0.0848,0.552,4.11e-06,0.905,0.226,184.744,audio_features,068tmpCeSwnAWm3XtECRj9,spotify:track:068tmpCeSwnAWm3XtECRj9,https://api.spotify.com/v1/tracks/068tmpCeSwnAWm3XtECRj9,https://api.spotify.com/v1/audio-analysis/068tmpCeSwnAWm3XtECRj9,227307,3,Et sil fallait le faire
361,0.624,0.889,10,-4.482,0,0.212,0.107,0.0,0.205,0.561,135.996,audio_features,0LUwe0PKdjLtAoq4uRIGzT,spotify:track:0LUwe0PKdjLtAoq4uRIGzT,https://api.spotify.com/v1/tracks/0LUwe0PKdjLtAoq4uRIGzT,https://api.spotify.com/v1/audio-analysis/0LUwe0PKdjLtAoq4uRIGzT,183600,4,Miss Kiss Kiss Bang
362,0.66,0.931,3,-3.038,0,0.0764,0.0103,0.0,0.181,0.362,129.981,audio_features,06bUBaq3PKtjc6DvHN6uiX,spotify:track:06bUBaq3PKtjc6DvHN6uiX,https://api.spotify.com/v1/tracks/06bUBaq3PKtjc6DvHN6uiX,https://api.spotify.com/v1/audio-analysis/06bUBaq3PKtjc6DvHN6uiX,177539,4,Run Away
363,0.71,0.908,10,-4.774,0,0.0594,0.143,3.35e-06,0.307,0.496,119.997,audio_features,7mRVqjVhnmV3myTDJLzXVP,spotify:track:7mRVqjVhnmV3myTDJLzXVP,https://api.spotify.com/v1/tracks/7mRVqjVhnmV3myTDJLzXVP,https://api.spotify.com/v1/audio-analysis/7mRVqjVhnmV3myTDJLzXVP,182240,4,Horehronie
364,0.575,0.492,9,-5.809,0,0.0419,0.773,0.0,0.0569,0.804,110.174,audio_features,6LESyA9Ec5dBeIUZwmnDtt,spotify:track:6LESyA9Ec5dBeIUZwmnDtt,https://api.spotify.com/v1/tracks/6LESyA9Ec5dBeIUZwmnDtt,https://api.spotify.com/v1/audio-analysis/6LESyA9Ec5dBeIUZwmnDtt,210920,4,Tyolki ellaa
365,0.644,0.624,7,-4.293,0,0.0294,0.056,0.0,0.191,0.451,77.955,audio_features,3aUtmu4VTqAFkk4sFQ5kNa,spotify:track:3aUtmu4VTqAFkk4sFQ5kNa,https://api.spotify.com/v1/tracks/3aUtmu4VTqAFkk4sFQ5kNa,https://api.spotify.com/v1/audio-analysis/3aUtmu4VTqAFkk4sFQ5kNa,179453,4,What For
366,0.471,0.345,9,-8.373,1,0.0334,0.625,0.0,0.144,0.418,128.695,audio_features,4cdzY3vgDsEhlnBk3PhrRO,spotify:track:4cdzY3vgDsEhlnBk3PhrRO,https://api.spotify.com/v1/tracks/4cdzY3vgDsEhlnBk3PhrRO,https://api.spotify.com/v1/audio-analysis/4cdzY3vgDsEhlnBk3PhrRO,180940,4,Me and My Guitar
367,0.446,0.699,6,-5.24,1,0.038,0.0979,0.0,0.551,0.29,137.926,audio_features,4VdpxZEaML8zA7V8RPoTPk,spotify:track:4VdpxZEaML8zA7V8RPoTPk,https://api.spotify.com/v1/tracks/4VdpxZEaML8zA7V8RPoTPk,https://api.spotify.com/v1/audio-analysis/4VdpxZEaML8zA7V8RPoTPk,179997,4,My Dream
368,0.529,0.878,3,-4.328,0,0.0668,0.0343,2.64e-06,0.172,0.285,132.033,audio_features,48rIGviK0uiZKmXV6QifbE,spotify:track:48rIGviK0uiZKmXV6QifbE,https://api.spotify.com/v1/tracks/48rIGviK0uiZKmXV6QifbE,https://api.spotify.com/v1/audio-analysis/48rIGviK0uiZKmXV6QifbE,180001,4,Je ne sais quoi
369,0.832,0.76,9,-6.558,1,0.0491,0.0328,0.0,0.183,0.932,133.962,audio_features,2Jd27yo14CFCzLlvROqm6a,spotify:track:2Jd27yo14CFCzLlvROqm6a,https://api.spotify.com/v1/tracks/2Jd27yo14CFCzLlvROqm6a,https://api.spotify.com/v1/audio-analysis/2Jd27yo14CFCzLlvROqm6a,159653,4,Eastern European Funk
370,0.659,0.767,6,-5.306,1,0.0279,0.277,0.0,0.0985,0.393,95.036,audio_features,0MWW8RAML03zc4gjZqcxmL,spotify:track:0MWW8RAML03zc4gjZqcxmL,https://api.spotify.com/v1/tracks/0MWW8RAML03zc4gjZqcxmL,https://api.spotify.com/v1/audio-analysis/0MWW8RAML03zc4gjZqcxmL,183373,4,In a Moment Like This
371,0.605,0.778,5,-6.627,0,0.0363,0.0106,9.18e-06,0.312,0.376,127.999,audio_features,4E0XKHtQq2kfvva8IRvIz5,spotify:track:4E0XKHtQq2kfvva8IRvIz5,https://api.spotify.com/v1/tracks/4E0XKHtQq2kfvva8IRvIz5,https://api.spotify.com/v1/audio-analysis/4E0XKHtQq2kfvva8IRvIz5,178867,4,Il pleut de lor
372,0.468,0.657,6,-4.338,1,0.0295,0.00957,1.03e-05,0.0776,0.228,147.965,audio_features,38hIyhovrQzznCiNjnG5LI,spotify:track:38hIyhovrQzznCiNjnG5LI,https://api.spotify.com/v1/tracks/38hIyhovrQzznCiNjnG5LI,https://api.spotify.com/v1/audio-analysis/38hIyhovrQzznCiNjnG5LI,222493,3,Drip Drop
373,0.634,0.407,4,-6.469,0,0.0397,0.718,1.02e-06,0.138,0.118,119.929,audio_features,7CJ8kE34MpQpL8jZUazdPt,spotify:track:7CJ8kE34MpQpL8jZUazdPt,https://api.spotify.com/v1/tracks/7CJ8kE34MpQpL8jZUazdPt,https://api.spotify.com/v1/audio-analysis/7CJ8kE34MpQpL8jZUazdPt,180088,4,Sweet People
374,0.883,0.676,4,-5.48,0,0.0888,0.0141,0.0474,0.0711,0.742,127.981,audio_features,6xikIOSCq3TW79lvVcBwaz,spotify:track:6xikIOSCq3TW79lvVcBwaz,https://api.spotify.com/v1/tracks/6xikIOSCq3TW79lvVcBwaz,https://api.spotify.com/v1/audio-analysis/6xikIOSCq3TW79lvVcBwaz,295251,4,Playing with Fire
375,0.493,0.643,3,-5.193,0,0.0365,0.385,0.0,0.149,0.492,76.031,audio_features,7JUTXUS5JECpljBq0qNtMc,spotify:track:7JUTXUS5JECpljBq0qNtMc,https://api.spotify.com/v1/tracks/7JUTXUS5JECpljBq0qNtMc,https://api.spotify.com/v1/audio-analysis/7JUTXUS5JECpljBq0qNtMc,182747,4,Lako je sve
376,0.455,0.493,2,-6.698,1,0.0303,0.165,0.0,0.313,0.173,125.816,audio_features,4X2DjLtq0XEj4ukogWZCAv,spotify:track:4X2DjLtq0XEj4ukogWZCAv,https://api.spotify.com/v1/tracks/4X2DjLtq0XEj4ukogWZCAv,https://api.spotify.com/v1/audio-analysis/4X2DjLtq0XEj4ukogWZCAv,245828,4,Shine
377,0.557,0.681,9,-7.065,0,0.0266,0.0121,2.88e-05,0.138,0.415,111.955,audio_features,19BkfCQ8jcAlb33zf7jzVa,spotify:track:19BkfCQ8jcAlb33zf7jzVa,https://api.spotify.com/v1/tracks/19BkfCQ8jcAlb33zf7jzVa,https://api.spotify.com/v1/audio-analysis/19BkfCQ8jcAlb33zf7jzVa,228310,4,We Could Be the Same
378,0.372,0.618,2,-5.069,0,0.083,0.725,0.0,0.27,0.709,176.714,audio_features,4TNq9oD4rENIf10uzKLVfS,spotify:track:4TNq9oD4rENIf10uzKLVfS,https://api.spotify.com/v1/tracks/4TNq9oD4rENIf10uzKLVfS,https://api.spotify.com/v1/audio-analysis/4TNq9oD4rENIf10uzKLVfS,179907,3,Algo pequenito
379,0.642,0.934,11,-4.706,1,0.06,0.00208,1.08e-06,0.0612,0.721,129.024,audio_features,1xSl7uE9De7aLDEGXahCJB,spotify:track:1xSl7uE9De7aLDEGXahCJB,https://api.spotify.com/v1/tracks/1xSl7uE9De7aLDEGXahCJB,https://api.spotify.com/v1/audio-analysis/1xSl7uE9De7aLDEGXahCJB,172746,4,Allez ola ole
380,0.68,0.857,11,-4.591,0,0.238,0.204,0.0,0.0414,0.924,94.928,audio_features,2UjNsh4ipNrmog6wdS2JVv,spotify:track:2UjNsh4ipNrmog6wdS2JVv,https://api.spotify.com/v1/tracks/2UjNsh4ipNrmog6wdS2JVv,https://api.spotify.com/v1/audio-analysis/2UjNsh4ipNrmog6wdS2JVv,175507,4,Satellite
381,0.725,0.926,5,-4.665,0,0.12,0.00493,0.0,0.323,0.551,129.047,audio_features,2y0NFhe1I9RZz7eAKoMUiR,spotify:track:2y0NFhe1I9RZz7eAKoMUiR,https://api.spotify.com/v1/tracks/2y0NFhe1I9RZz7eAKoMUiR,https://api.spotify.com/v1/audio-analysis/2y0NFhe1I9RZz7eAKoMUiR,183967,4,Jestem
382,0.728,0.907,8,-5.283,1,0.0262,0.0278,1.76e-05,0.169,0.97,123.633,audio_features,0Dg8snKvHkZTkDFQIL7rRG,spotify:track:0Dg8snKvHkZTkDFQIL7rRG,https://api.spotify.com/v1/tracks/0Dg8snKvHkZTkDFQIL7rRG,https://api.spotify.com/v1/audio-analysis/0Dg8snKvHkZTkDFQIL7rRG,179360,4,Haba Haba
383,0.6,0.915,5,-4.874,1,0.0459,0.238,0.327,0.0418,0.964,91.253,audio_features,5flufChGVI2JgMUt83Eiwg,spotify:track:5flufChGVI2JgMUt83Eiwg,https://api.spotify.com/v1/tracks/5flufChGVI2JgMUt83Eiwg,https://api.spotify.com/v1/audio-analysis/5flufChGVI2JgMUt83Eiwg,95747,4,Boom Boom
384,0.761,0.398,9,-6.472,1,0.0375,0.251,0.0,0.0976,0.652,127.919,audio_features,4GtO1RnTMOhGusfp63Q3MN,spotify:track:4GtO1RnTMOhGusfp63Q3MN,https://api.spotify.com/v1/tracks/4GtO1RnTMOhGusfp63Q3MN,https://api.spotify.com/v1/audio-analysis/4GtO1RnTMOhGusfp63Q3MN,168949,4,In Love for a While
